PC1,PC2,PC3,PC4,PC5,PC6,PC7,event,X.technology.,X.science.,X.globalissues.,X.culture.,X.TEDx.,X.design.,X.business.,X.entertainment.,X.health.,X.innovation.,lable
-1.134505589,-0.322800401,0.025608284,-0.075293407,-2.12842726,-1.035607336,0.177697282,TED original,0,0,0,1,0,0,0,0,0,0,great
1.527668693,1.586498069,0.463839855,-0.059447574,-1.490596962,-0.204791194,-0.735400033,TED original,1,1,1,1,0,0,0,0,0,0,good
1.681334677,0.792152813,0.621686302,-0.347493662,-3.346234083,-1.283417501,-0.870441118,TED original,1,0,0,0,0,0,0,1,0,0,ok
-2.089892318,1.465026064,-0.093826306,0.744101094,-0.484952743,0.734250344,-0.346925417,TED original,0,0,0,0,0,0,1,0,0,0,ok
-0.212949368,-2.32064458,-1.001682127,0.910923183,-0.818907471,0.35337953,-0.428800632,TED original,0,0,1,0,0,0,0,0,1,0,great
-0.814736539,1.233723109,-0.165520961,1.032830906,-1.106995904,-0.104359611,0.580349868,TED original,0,0,0,1,0,0,1,1,0,0,great
1.427853991,1.127048789,1.868008748,-0.904753623,-3.698851635,-1.27622447,-1.228809019,TED original,0,0,0,1,0,0,0,0,0,0,good
0.737974621,-1.053493724,0.589980634,0.863834476,-0.061494611,0.351081929,1.513161784,TED original,0,0,0,1,0,1,0,0,0,0,ok
0.225883345,1.696786264,-1.283310632,1.518195136,-0.809438903,0.290841221,-0.041020231,TED original,0,0,0,0,0,0,0,0,0,0,good
-0.659512135,2.156588764,0.065858726,1.378497517,-0.670134672,0.31139638,0.556794893,TED original,0,0,0,1,0,0,0,0,0,0,good
-1.409634262,0.148457749,-0.321412455,1.101692993,-1.051433363,0.394315677,1.712331745,TED original,0,0,1,1,0,1,0,0,0,0,ok
-1.780349732,1.417619854,0.538631437,1.676366928,-0.233928054,-0.360430198,0.668773137,TED original,0,0,1,1,0,0,0,1,0,0,ok
-1.472268436,0.061845041,-1.454797065,1.46730691,-0.817106095,0.141102528,0.127712419,TED original,1,1,1,0,0,0,0,0,1,0,ok
-0.426878164,-5.11085637,1.634583743,1.931663747,-0.341548786,4.512544046,-3.217869671,TED original,1,0,0,0,0,1,0,0,0,0,ok
-0.712279175,0.349272324,0.071423872,0.493604558,-0.493685153,0.475292905,0.943775946,TED original,1,0,1,0,0,1,0,0,0,0,ok
-1.652215152,-2.786002031,2.34166951,3.0891382,-0.042212662,0.995684421,-2.439703777,TED original,0,0,0,0,0,0,0,1,0,0,ok
-1.416022723,-3.253747985,2.290074787,3.441209998,-0.01025564,1.833062888,-2.732194369,TED original,0,0,0,0,0,0,0,1,0,0,ok
-1.223397299,-0.579898213,-0.350557292,-0.127644489,-0.665433758,0.762259454,1.541589526,TED original,0,0,1,0,0,1,0,0,0,0,ok
2.323750398,1.538856553,2.634163361,2.327349744,-0.78019786,1.260876017,0.134304018,TED original,0,0,0,0,0,1,0,0,0,0,ok
0.350040983,-0.390137468,-0.895650623,0.625899348,0.142331151,-0.441260881,0.566787592,TEDGlobal,1,0,0,1,0,0,1,0,0,0,ok
0.153855494,0.212273234,-1.31255654,0.141490236,-0.017580967,-0.150857809,0.880780527,TED original,1,0,1,1,0,0,1,0,0,0,ok
3.496385451,1.300551065,2.834014559,-0.820655919,-4.568346617,-1.742202874,-0.814657506,TED original,0,0,0,1,0,0,0,1,0,0,ok
4.484041684,3.51883887,2.002754396,1.981499109,-0.28976055,-0.38613855,0.686791548,TED original,0,0,0,1,0,1,1,1,0,0,ok
0.606124744,-0.271093798,-1.381896626,0.993478421,-0.307074135,-1.423414902,-0.335591639,TED original,0,1,0,1,0,0,0,0,0,0,good
-2.614202969,1.460028801,1.041090774,1.073741586,-0.588567737,0.123241797,-0.604871504,TED original,0,0,1,1,0,0,0,1,0,0,ok
-0.220040405,0.276494395,-2.541872848,0.319433275,-1.038709117,0.394105934,0.243552313,TEDGlobal,1,1,1,1,0,0,0,0,0,0,ok
0.153079625,-1.800047701,-0.462903687,1.590573514,-0.174466276,-0.66203984,0.148799074,TEDGlobal,0,1,0,0,0,0,0,0,0,0,ok
0.998708277,-1.382676142,-0.88341139,0.077128482,-2.009410986,-1.642814316,-0.943481606,TED original,0,0,0,1,0,0,1,0,0,0,ok
0.653917544,-1.168496876,-0.640619014,-0.108844457,-1.193585679,-1.046506599,0.203599821,TED original,0,0,0,1,0,0,1,0,0,0,good
0.032280231,-1.059131684,-1.180113106,0.795710709,-0.740680794,-0.891143885,-0.027670672,TED original,0,1,0,1,0,0,0,0,0,0,great
-0.110354141,-0.51092175,-1.306729162,0.213252136,-1.161166711,-0.58332829,0.175989484,TEDGlobal,0,0,0,1,0,0,1,0,0,0,great
0.557023314,-0.568839489,0.251007787,1.394576535,-0.419789002,0.745177137,0.58396472,TED original,1,1,0,0,0,0,0,0,1,0,ok
1.013143519,0.862306035,-1.2791738,1.757411054,-1.056960417,0.705794803,-0.102499845,TEDGlobal,1,1,0,0,0,0,0,0,0,0,ok
-0.029807388,0.002701076,-0.825577167,-0.024951084,-0.287778887,0.746231808,1.364341961,TEDGlobal,1,0,1,1,0,0,1,0,0,0,ok
-1.579076732,0.763818066,-0.642826927,-0.411514783,0.26690994,-0.195185881,0.700762996,TEDGlobal,0,0,0,1,0,0,1,0,0,0,ok
